Date,Open,High,Low,Close,Volume
4/22/2014,39.96,40.14,39.83,39.99,27052740
4/23/2014,39.99,39.99,39.47,39.69,24556290
4/24/2014,39.74,39.97,39.3,39.86,41840750
4/25/2014,40.29,40.68,39.75,39.91,56869690
4/28/2014,40.14,41.29,40.09,40.87,50598770
4/29/2014,41.1,41.19,40.39,40.51,29625310
4/30/2014,40.4,40.5,40.1699,40.4,35421760
5/1/2014,40.24,40.36,39.95,40,28787400
5/2/2014,40.31,40.34,39.66,39.69,43404480
5/5/2014,39.52,39.6399,39.3,39.43,22438370
5/6/2014,39.29,39.35,38.95,39.06,27105700
5/7/2014,39.22,39.51,38.51,39.425,41731030
5/8/2014,39.34,39.9,38.97,39.64,32089010
5/9/2014,39.54,39.85,39.37,39.54,29646100
5/12/2014,39.74,40.02,39.65,39.97,22761620
5/13/2014,39.92,40.5,39.85,40.42,26994040
5/14/2014,40.3,40.45,40.05,40.24,18803840
5/15/2014,40.09,40.4,39.51,39.6,37717220
5/16/2014,39.67,39.84,39.27,39.83,29867030
5/19/2014,39.61,39.82,39.46,39.75,23640880
5/20/2014,39.68,39.94,39.46,39.68,21318920
5/21/2014,39.8,40.35,39.7399,40.35,22377460
5/22/2014,40.29,40.35,39.85,40.1,20201010
5/23/2014,40.37,40.37,40,40.12,18013300
5/27/2014,40.26,40.26,39.81,40.19,26160450
5/28/2014,40.14,40.19,39.82,40.01,25711440
5/29/2014,40.15,40.35,39.91,40.34,19887140
5/30/2014,40.45,40.97,40.25,40.94,34564370
6/2/2014,40.95,41.09,40.68,40.79,18493950
6/3/2014,40.6,40.68,40.25,40.29,18041370
6/4/2014,40.21,40.37,39.86,40.32,23198020
6/5/2014,40.59,41.25,40.4,41.21,31839900
6/6/2014,41.48,41.66,41.24,41.48,24042030
6/9/2014,41.39,41.48,41.02,41.27,15011640
6/10/2014,41.03,41.16,40.86,41.11,15002270
6/11/2014,40.93,41.07,40.765,40.86,17635280
6/12/2014,40.81,40.88,40.29,40.58,29812690
6/13/2014,41.1,41.565,40.86,41.23,26305900
6/16/2014,41.04,41.61,41.04,41.5,24127410
6/17/2014,41.29,41.91,40.335,41.68,22473060
6/18/2014,41.605,41.74,41.18,41.65,27053740
6/19/2014,41.57,41.77,41.3301,41.51,19828190
6/20/2014,41.445,41.83,41.38,41.68,47760950
6/23/2014,41.73,42,41.69,41.99,18731430
6/24/2014,41.83,41.94,41.56,41.745,26499460
6/25/2014,41.7,42.05,41.46,42.03,20038340
6/26/2014,41.93,41.94,41.43,41.72,23604390
6/27/2014,41.61,42.29,41.51,42.25,70385440
6/30/2014,42.17,42.21,41.7,41.7,30790300
7/1/2014,41.86,42.15,41.69,41.87,26916950
7/2/2014,41.73,41.9,41.53,41.9,20208090
7/3/2014,41.91,41.99,41.56,41.8,15969310
7/7/2014,41.75,42.12,41.71,41.99,21896680
7/8/2014,41.87,42,41.61,41.78,31218210
7/9/2014,41.98,41.99,41.53,41.67,18374910
7/10/2014,41.37,42,41.05,41.685,21854010
7/11/2014,41.7,42.09,41.48,42.09,24082750
7/14/2014,42.22,42.45,42.04,42.14,21878810
7/15/2014,42.33,42.47,42.03,42.45,28743300
7/16/2014,42.51,44.31,42.48,44.08,63304860
7/17/2014,45.45,45.71,44.25,44.53,82146080
7/18/2014,44.65,44.84,44.25,44.69,43396060
7/21/2014,44.56,45.16,44.22,44.835,37569630
7/22/2014,45,45.15,44.59,44.83,42589920
7/23/2014,45.45,45.45,44.62,44.87,52352270
7/24/2014,44.93,45,44.32,44.4,30692230
7/25/2014,44.3,44.66,44.3,44.5,26700810
7/28/2014,44.36,44.51,43.93,43.97,29650540
7/29/2014,43.91,44.09,43.64,43.885,27755840
7/30/2014,44.07,44.1,43.29,43.5785,31918500
7/31/2014,43.38,43.69,43.08,43.16,31527670
8/1/2014,43.21,43.25,42.6,42.86,30926280
8/4/2014,42.97,43.47,42.81,43.37,34200470
8/5/2014,43.31,43.46,42.83,43.08,26258880
8/6/2014,42.74,43.17,42.21,42.74,24625300
8/7/2014,42.84,43.45,42.65,43.23,30300560
8/8/2014,43.23,43.315,42.91,43.2,28942570
8/11/2014,43.26,43.45,43.02,43.2,19829060
8/12/2014,43.04,43.59,43,43.52,21422980
8/13/2014,43.68,44.18,43.52,44.08,22851140
8/14/2014,44.08,44.417,44.01,44.27,19304230
8/15/2014,44.58,44.895,44.4,44.79,41573360
8/18/2014,44.94,45.11,44.68,45.11,26882850
8/19/2014,44.97,45.34,44.83,45.33,28087670
8/20/2014,45.34,45.4,44.9,44.95,24747360
8/21/2014,44.84,45.25,44.83,45.22,22272010
8/22/2014,45.35,45.47,45.07,45.15,18293690
8/25/2014,45.4,45.44,45.04,45.17,16815800
8/26/2014,45.31,45.395,44.94,45.005,14850670
8/27/2014,44.9,45,44.76,44.87,20822900
8/28/2014,44.75,44.98,44.61,44.88,17656590
8/29/2014,45.09,45.44,44.855,45.43,21577940
9/2/2014,45.43,45.46,44.85,45.09,22956270
9/3/2014,44.53,45.11,44.53,44.96,33662430
9/4/2014,44.74,45.27,44.72,45.26,26475110
9/5/2014,45.11,45.93,45.11,45.91,36687170
9/8/2014,46.02,46.8,45.99,46.47,45709750
9/9/2014,46.47,46.97,46.42,46.76,40248050
9/10/2014,46.82,46.94,46.28,46.84,27297820
9/11/2014,46.74,47,46.47,47,29201070
9/12/2014,46.91,47.02,46.6,46.695,38224850
9/15/2014,46.54,46.71,46.1,46.24,37630230
9/16/2014,46.39,46.85,46.29,46.76,27865200
9/17/2014,46.26,46.69,46.23,46.52,38247550
9/18/2014,46.59,46.83,46.46,46.68,35493560
9/19/2014,46.81,47.57,46.6,47.52,202514100
9/22/2014,47.3,47.38,46.98,47.06,38655550
9/23/2014,46.85,46.98,46.47,46.56,33386790
9/24/2014,46.63,47.11,46.34,47.08,26533890
9/25/2014,46.88,47.09,46.03,46.04,32927320
9/26/2014,45.93,46.62,45.76,46.41,27051350
9/29/2014,45.98,46.56,45.76,46.44,26057810
9/30/2014,46.37,46.4763,46.01,46.36,32996820
10/1/2014,46.27,46.53,45.845,45.9,38050210
10/2/2014,45.83,46.1,45.64,45.76,25297400
10/3/2014,45.98,46.3,45.61,46.09,32351720
10/6/2014,46.12,46.3,45.9199,46.09,20532430
10/7/2014,45.86,45.93,45.42,45.53,25617210
10/8/2014,45.48,46.89,45.34,46.78,32977510
10/9/2014,46.5,46.8,45.74,45.85,34422150
10/10/2014,45.6,46.12,43.95,44.03,51877600
10/13/2014,43.82,44.56,43.49,43.65,37020680
10/14/2014,43.87,44.38,43.56,43.73,38097300
10/15/2014,43,43.39,42.1,43.22,60188290
10/16/2014,42.53,43.08,42.22,42.74,49007120
10/17/2014,43.2,43.935,42.79,43.63,40654940
10/20/2014,43.06,44.14,42.81,44.08,34523930
10/21/2014,44.36,44.975,44.19,44.88,36234890
10/22/2014,45,45.07,44.225,44.38,33570230
10/23/2014,44.62,45.445,44.53,45.02,43844860
10/24/2014,46.83,46.9,45.18,46.13,61053110
10/27/2014,45.71,46.1,45.71,45.91,30319900
10/28/2014,45.86,46.5,45.77,46.49,29001420
10/29/2014,46.44,46.7,46.34,46.62,30274720
10/30/2014,46.32,46.32,45.77,46.05,30040850
10/31/2014,46.94,46.97,46.48,46.95,35826980
11/3/2014,46.89,47.46,46.73,47.44,23078100
11/4/2014,47.301,47.73,47.25,47.57,21287870
11/5/2014,47.8,47.9,47.26,47.86,22447160
11/6/2014,47.86,48.86,47.79,48.7,33033070
11/7/2014,48.92,48.92,48.2901,48.68,27987700
11/10/2014,48.65,49.15,48.55,48.89,36364840
11/11/2014,48.85,48.93,48.645,48.87,22180480
11/12/2014,48.56,48.92,48.52,48.78,22721330
11/13/2014,48.81,49.645,48.705,49.61,26207930
11/14/2014,49.74,50.045,49.39,49.58,29074940
11/17/2014,49.41,49.705,49.14,49.46,30309630
11/18/2014,49.13,49.325,48.7,48.74,23938060
11/19/2014,48.66,48.7549,47.93,48.22,26166200
11/20/2014,48,48.7,47.87,48.7,21486310
